model_name,score_transform,n_buckets,bucket_id,count,positive_count,positive_rate,mean_score,lift_vs_base_rate
logistic,raw,100,87,600,1,0.0016666666666666668,0.1100420616538787,1.7241379310344829
logistic,raw,100,88,600,0,0.0,0.11943898124993708,0.0
logistic,raw,100,89,600,0,0.0,0.13065802421286704,0.0
logistic,raw,100,90,600,0,0.0,0.14326877242999483,0.0
logistic,raw,100,91,600,0,0.0,0.15819352889044158,0.0
logistic,raw,100,92,600,0,0.0,0.17582167249517336,0.0
logistic,raw,100,93,600,1,0.0016666666666666668,0.19736137272366736,1.7241379310344829
logistic,raw,100,94,600,1,0.0016666666666666668,0.22437742198002017,1.7241379310344829
logistic,raw,100,95,600,2,0.0033333333333333335,0.26066973600082,3.4482758620689657
logistic,raw,100,96,600,1,0.0016666666666666668,0.3099171644220128,1.7241379310344829
logistic,raw,100,97,600,7,0.011666666666666667,0.3811346322923621,12.068965517241379
logistic,raw,100,98,600,6,0.01,0.49258717212349895,10.344827586206897
logistic,raw,100,99,600,26,0.043333333333333335,0.7070726484141002,44.827586206896555
logistic,noise_rank,10,0,6000,0,0.0,0.007273874904976006,0.0
logistic,noise_rank,10,1,6000,1,0.00016666666666666666,0.013414680593171288,0.17241379310344826
logistic,noise_rank,10,2,6000,0,0.0,0.017976597772553348,0.0
logistic,noise_rank,10,3,6000,0,0.0,0.02203020918065488,0.0
logistic,noise_rank,10,4,6000,1,0.00016666666666666666,0.026894521806246303,0.17241379310344826
logistic,noise_rank,10,5,6000,1,0.00016666666666666666,0.03365613458424938,0.17241379310344826
logistic,noise_rank,10,6,6000,0,0.0,0.044471366887905976,0.0
logistic,noise_rank,10,7,6000,6,0.001,0.06310294816900769,1.0344827586206897
logistic,noise_rank,10,8,6000,5,0.0008333333333333334,0.10369437053450853,0.8620689655172414
logistic,noise_rank,10,9,6000,44,0.007333333333333333,0.3089989977343383,7.586206896551724
logistic,noise_rank,20,0,3000,0,0.0,0.005239679481636943,0.0
logistic,noise_rank,20,1,3000,0,0.0,0.009308070328315068,0.0
logistic,noise_rank,20,2,3000,1,0.0003333333333333333,0.012184400509333105,0.3448275862068965
logistic,noise_rank,20,3,3000,0,0.0,0.014644960677009477,0.0
logistic,noise_rank,20,4,3000,0,0.0,0.016924020288508104,0.0
logistic,noise_rank,20,5,3000,0,0.0,0.01902917525659859,0.0
logistic,noise_rank,20,6,3000,0,0.0,0.020995587983508614,0.0
logistic,noise_rank,20,7,3000,0,0.0,0.023064830377801153,0.0
logistic,noise_rank,20,8,3000,0,0.0,0.02548019295103701,0.0
logistic,noise_rank,20,9,3000,1,0.0003333333333333333,0.02830885066145558,0.3448275862068965
logistic,noise_rank,20,10,3000,0,0.0,0.031602517384769,0.0
logistic,noise_rank,20,11,3000,1,0.0003333333333333333,0.03570975178372976,0.3448275862068965
logistic,noise_rank,20,12,3000,0,0.0,0.04105369244224438,0.0
logistic,noise_rank,20,13,3000,0,0.0,0.04788904133356757,0.0
logistic,noise_rank,20,14,3000,4,0.0013333333333333333,0.0568339417722618,1.379310344827586
logistic,noise_rank,20,15,3000,2,0.0006666666666666666,0.06937195456575357,0.689655172413793
logistic,noise_rank,20,16,3000,4,0.0013333333333333333,0.08791389078768964,1.379310344827586
logistic,noise_rank,20,17,3000,1,0.0003333333333333333,0.11947485028132743,0.3448275862068965
logistic,noise_rank,20,18,3000,2,0.0006666666666666666,0.1861948405805065,0.689655172413793
logistic,noise_rank,20,19,3000,42,0.014,0.4318031548881701,14.482758620689655
logistic,noise_rank,100,0,600,0,0.0,0.0026140282073499597,0.0
