run_id,model_name,prior_method,prior_lambda,synthetic_prior_rho,calibration_method,score_transform,score_alpha,eval_split,average_precision,roc_auc,log_loss,brier_score,score_entropy,normalized_score_entropy,tie_rate,n_unique_scores,occupied_bins,max_score_gap,train_time_seconds,predict_time_seconds,n_train,n_eval,positive_rate_train,positive_rate_eval
617,rff_logistic,label_smoothing,0.05,,none,noise_rank,0.9,val,0.06588462968596048,0.8829270593757874,,,2.5533655667710025,0.6526969711650642,0.0,60000,35,0.011517149789697867,0.29275150099988423,0.3691415870000583,1740,60000,0.09504833333333333,0.0009666666666666667
618,rff_logistic,label_smoothing,0.05,,none,noise_rank,0.95,val,0.06378587667327494,0.893693501419188,,,2.3785354706878254,0.6080065141200544,0.0,60000,35,0.01743600527737066,0.29275150099988423,0.3691415870000583,1740,60000,0.09504833333333333,0.0009666666666666667
619,rff_logistic,label_smoothing,0.05,,none,noise_rank,0.98,val,0.07341323722418636,0.8973789605814356,,,2.2683328066402466,0.5798362646366881,0.0,60000,35,0.0161796146242984,0.29275150099988423,0.3691415870000583,1740,60000,0.09504833333333333,0.0009666666666666667
620,rff_logistic,label_smoothing,0.05,,none,noise_rank,0.99,val,0.07271883841574026,0.8983436862530331,,,2.2532139189291573,0.575971541016681,0.0,60000,35,0.01817359294668619,0.29275150099988423,0.3691415870000583,1740,60000,0.09504833333333333,0.0009666666666666667
621,rff_logistic,label_smoothing,0.05,,none,raw,,test,0.01933540765960763,0.9022782367783111,0.07766224988176697,0.012543013664125411,2.1837994260349496,0.5582276543376172,0.0,60000,35,0.01497442755041789,0.29275150099988423,0.32682734000013625,1740,60000,0.09504833333333333,0.0009666666666666667
622,rff_logistic,label_smoothing,0.05,,none,shrinkage,0.01,test,0.01933540765960763,0.9022782367783111,0.07682189833717178,0.012308414121142653,2.1738031055883633,0.5556723727268711,0.0,60000,35,0.014824683274913708,0.29275150099988423,0.32682734000013625,1740,60000,0.09504833333333333,0.0009666666666666667
623,rff_logistic,label_smoothing,0.05,,none,shrinkage,0.05,test,0.01933540765960763,0.9022782367783111,0.07348769122265501,0.011394021348921462,2.1332051234331595,0.5452946264562404,0.0,60000,33,0.01422570617289698,0.29275150099988423,0.32682734000013625,1740,60000,0.09504833333333333,0.0009666666666666667
624,rff_logistic,label_smoothing,0.05,,none,shrinkage,0.1,test,0.01933540765960763,0.9022782367783111,0.06937893843287318,0.01030504253299212,2.0798524959087272,0.5316565094384205,0.0,60000,32,0.013476984795376179,0.29275150099988423,0.32682734000013625,1740,60000,0.09504833333333333,0.0009666666666666667
625,rff_logistic,label_smoothing,0.05,,none,shrinkage,0.2,test,0.01933540765960763,0.9022782367783111,0.06134618675016123,0.008307125398957267,1.9648907554768926,0.5022697342910558,0.0,60000,28,0.011979542040334357,0.29275150099988423,0.32682734000013625,1740,60000,0.09504833333333333,0.0009666666666666667
626,rff_logistic,label_smoothing,0.05,,none,noise_rank,0.9,test,0.02755363791544172,0.9046362633304148,,,2.5489257712985816,0.6515620607961169,0.0,60000,36,0.03096688611996623,0.29275150099988423,0.32682734000013625,1740,60000,0.09504833333333333,0.0009666666666666667
627,rff_logistic,label_smoothing,0.05,,none,noise_rank,0.95,test,0.022965513916694266,0.9062012819288531,,,2.3728917749258533,0.6065638600880762,0.0,60000,35,0.027788346315491985,0.29275150099988423,0.32682734000013625,1740,60000,0.09504833333333333,0.0009666666666666667
628,rff_logistic,label_smoothing,0.05,,none,noise_rank,0.98,test,0.019543690460694298,0.9037207231358129,,,2.2606211724849388,0.5778649996046044,0.0,60000,35,0.012502473198844788,0.29275150099988423,0.32682734000013625,1740,60000,0.09504833333333333,0.0009666666666666667
629,rff_logistic,label_smoothing,0.05,,none,noise_rank,0.99,test,0.019289759563436305,0.9032075834225959,,,2.2453791409631605,0.5739687976904978,0.0,60000,35,0.012492792128799723,0.29275150099988423,0.32682734000013625,1740,60000,0.09504833333333333,0.0009666666666666667
630,rff_logistic,label_smoothing,0.1,,none,raw,,val,0.07115602523839568,0.8980839524183722,0.07391052986200679,0.01135236374152556,2.1449046972176773,0.5482852974641266,0.0,60000,34,0.020163592297480437,0.35769559800019124,0.3588629820001188,1740,60000,0.09009666666666666,0.0009666666666666667
631,rff_logistic,label_smoothing,0.1,,none,shrinkage,0.01,val,0.07115602523839568,0.8980839524183722,0.07312040622321858,0.01114094894917469,2.13496200579537,0.5457437246235499,0.0,60000,33,0.019961956374505596,0.35769559800019124,0.3588629820001188,1740,60000,0.09009666666666666,0.0009666666666666667
632,rff_logistic,label_smoothing,0.1,,none,shrinkage,0.05,val,0.07115602523839568,0.8980839524183722,0.06998305157616348,0.01031701674485359,2.0948592325291306,0.5354925647478042,0.0,60000,32,0.019155412682606343,0.35769559800019124,0.3588629820001188,1740,60000,0.09009666666666666,0.0009666666666666667
