n_train,repeat,setup,auc,average_precision,brier_score
200,23,greedy,0.5033159514868162,0.010367604256542996,0.020879999582400097
200,24,logistic,0.5039594587532129,0.010087216336243907,0.00956836766156234
200,24,catboost,0.5148090917976107,0.010748057013961376,0.009636110328767263
200,24,hgb,0.5215537632547568,0.010451672685425703,0.009585030828797017
200,24,decision_tree,0.504111409526253,0.009603655136473195,0.011523999830800087
200,24,figs,0.49740741947372596,0.00948716241483806,0.08386393237372307
200,24,greedy,0.5007294655201553,0.009535538086202224,0.0204399995912001
200,25,logistic,0.5462885667294589,0.011600431915089627,0.009818596395018763
200,25,catboost,0.5265126402004955,0.01082366563752743,0.009928813927459564
200,25,hgb,0.5271291720081286,0.011019900773417777,0.009861022176661384
200,25,decision_tree,0.5006063503971574,0.00981190813493188,0.011768899824000086
200,25,figs,0.4985987164003149,0.00977782874534634,0.0836883278539643
200,25,greedy,0.5018913927922208,0.009849753320683111,0.0200599995988001
200,26,logistic,0.524636724028013,0.01215822155890473,0.010891632017954605
200,26,catboost,0.5204790621967001,0.011894366219684973,0.01099001873988219
200,26,hgb,0.5077610579576379,0.011578329468356685,0.010936276422443436
200,26,decision_tree,0.48887097503187626,0.010692649328878593,0.012895849799600087
200,26,figs,0.49935593373551296,0.01086724287712582,0.0845940774821939
200,26,greedy,0.5000654176261252,0.010881424716675662,0.0215399995692001
200,27,logistic,0.5226528082562827,0.011260850566135362,0.009935894680948609
200,27,catboost,0.5239786614758839,0.011070719264137054,0.00999830515710823
200,27,hgb,0.5138532889749938,0.010404674750986841,0.009967985470987005
200,27,decision_tree,0.506964810206907,0.010054753259036486,0.011878049825200087
200,27,figs,0.4963846116961964,0.009862418940056735,0.08387317471686828
200,27,greedy,0.5037177144641036,0.010022470173080156,0.020359999592800097
200,28,logistic,0.5287170855548486,0.010715655839849953,0.00990892031875351
200,28,catboost,0.5115516067533384,0.010256550973843516,0.009977733880573339
200,28,hgb,0.5022817475234821,0.010137225918858326,0.009915121439882284
200,28,decision_tree,0.4915328629127006,0.009721862162865445,0.011902099819600087
200,28,figs,0.5002561155631443,0.00986516214277235,0.0840025675209011
200,28,greedy,0.5027608118687172,0.009941296364719455,0.020299999594000098
200,29,logistic,0.5232347720252375,0.011132790601081449,0.009740406729797198
200,29,catboost,0.5348210532299881,0.011086369427716992,0.00983252382288491
200,29,hgb,0.517722011033667,0.010371890753599525,0.009799095514602533
200,29,decision_tree,0.491790076082734,0.009586978891630236,0.011778299822400088
200,29,figs,0.5002024201992336,0.009723994075714015,0.0840949909523531
200,29,greedy,0.49802603944081325,0.009694236920427658,0.0216999995660001
200,30,logistic,0.5212098260169311,0.010546806656258593,0.009576924445418064
200,30,catboost,0.5138896773330783,0.009940541858827385,0.00969543546403811
200,30,hgb,0.5047016884897435,0.009742731265626265,0.009570082757347286
200,30,decision_tree,0.4964340098036314,0.009477209410668529,0.011592749827600087
200,30,figs,0.49463525640480205,0.009511316793839137,0.08354969270678628
200,30,greedy,0.5017239729069833,0.009582460687169291,0.0205199995896001
500,1,logistic,0.5577493737373737,0.012242119834543878,0.014634043632098
500,1,catboost,0.48206133333333334,0.009634855057086226,0.01008992385599632
500,1,hgb,0.5095514343434343,0.01032908228339324,0.010063196554896963
500,1,decision_tree,0.48702206060606057,0.009543018074667764,0.0114514942901612
500,1,figs,0.501919191919192,0.010045934065934067,0.0851578604140511
500,1,greedy,0.4950572121212122,0.009981814631120219,0.019336234317901328
500,2,logistic,0.5899520577585329,0.014512996588572089,0.014710801831733736
500,2,catboost,0.5149422924977672,0.011334313687757464,0.010426986003701238
500,2,hgb,0.5489222788240613,0.012660341093989044,0.010389700583343696
500,2,decision_tree,0.508941924047417,0.010451671377410087,0.011704494480468704
500,2,figs,0.5016144866999723,0.010398969771164893,0.08525028384550311
500,2,greedy,0.4991669292324076,0.010634612326878911,0.01982672813226182
500,3,logistic,0.5708370861357674,0.013662322452690197,0.014405605135181299
500,3,catboost,0.5208769435766607,0.01095421407595405,0.01031758478538224
500,3,hgb,0.5311739994485323,0.01159376039603689,0.010245352490048876
500,3,decision_tree,0.49622183727479574,0.009992249882983337,0.011601387718708415
500,3,figs,0.501043877824715,0.010243361363467237,0.08584179380679592
500,3,greedy,0.5024840958747124,0.010433822876079068,0.020219382454049476
500,4,logistic,0.5570011515384149,0.012675125996083707,0.014403644786308048
500,4,catboost,0.4921730913413077,0.01015502001642175,0.010104092927961853
500,4,hgb,0.5180694188503334,0.010993777840493973,0.010058716288591939
500,4,decision_tree,0.5025166136746084,0.009862867394143424,0.011426612926469093
500,4,figs,0.49889293918677924,0.010000687787420753,0.08520407212977713
