depth,l2_leaf_reg,feature,importance
2,30,x19,7.6822508596130055
2,30,x20,1.729967695617524
2,30,x21,2.9340690139005288
2,30,x22,0.7456133592569815
2,30,x23,0.6262400405541931
2,30,x24,2.00008456474035
2,30,x25,2.1656037027567385
2,30,x26,0.8956933773409361
2,30,x27,1.0158776209544425
2,30,x28,1.1107461618931358
2,30,x29,0.7169381627955345
2,30,x30,2.6674126843273065
2,30,x31,4.801282110441001
2,30,x32,2.1540949341924964
2,30,x33,2.0437130177457674
2,30,x34,0.6101437487342918
2,30,x35,0.36964268135471195
2,30,x36,0.5443355286587863
2,30,x37,0.9312075226259122
2,30,x38,1.5909051816874926
2,30,x39,0.1922750073374913
2,100,x00,0.8017312167964878
2,100,x01,2.3683952154453474
2,100,x02,1.7330699762508566
2,100,x03,1.8836472610191373
2,100,x04,0.6894667077223631
2,100,x05,21.478050109617964
2,100,x06,5.1845086430402985
2,100,x07,0.7245124435316476
2,100,x08,2.3492224800854955
2,100,x09,4.93856350727976
2,100,x10,0.5176410923918444
2,100,x11,0.6120112223602641
2,100,x12,1.4186047930304218
2,100,x13,1.451096908484593
2,100,x14,2.746400085229412
2,100,x15,0.30351117639536995
2,100,x16,0.2620090538768535
2,100,x17,3.2642228204889965
2,100,x18,12.529833536989758
2,100,x19,4.644506492833824
2,100,x20,1.4728074417171817
2,100,x21,3.1912338700128524
2,100,x22,0.9915821000559751
2,100,x23,2.044418487598713
2,100,x24,2.83820288670289
2,100,x25,0.36667793469576565
2,100,x26,0.13964358562182697
2,100,x27,1.1901092292697018
2,100,x28,1.9264844371437675
2,100,x29,0.5815625109803534
2,100,x30,1.91777614019686
2,100,x31,1.9107351592949613
2,100,x32,2.8650641359552456
2,100,x33,1.6288768659266104
2,100,x34,1.4152333046665275
2,100,x35,0.060291458846981165
2,100,x36,3.783980339973095
2,100,x37,1.0869396242853941
2,100,x38,0.6873757441846142
2,100,x39,0.0
3,1,x00,3.5428453376682265
3,1,x01,1.7674575240018124
3,1,x02,1.3325552981782596
3,1,x03,4.7390247303041475
3,1,x04,1.2453066275954525
3,1,x05,4.633823537100239
