model,repeat,p_pos,roc_auc,average_precision,study
auc_model,5,0.1,0.7118204425086316,0.2193153542842722,imbalance
ap_model,5,0.1,0.7145377511346402,0.221854593738828,imbalance
auc_model,6,0.1,0.7165029030817329,0.22825823602890963,imbalance
ap_model,6,0.1,0.7230429652674035,0.24344335321249297,imbalance
auc_model,7,0.1,0.7090601365094826,0.20331424716449326,imbalance
ap_model,7,0.1,0.7132163883000058,0.20266573881015423,imbalance
auc_model,8,0.1,0.7163448144865139,0.21681470471632935,imbalance
ap_model,8,0.1,0.7204877379595627,0.21916373606133238,imbalance
auc_model,9,0.1,0.7108805036339371,0.23283446582163453,imbalance
ap_model,9,0.1,0.7149079587024321,0.23490857111600116,imbalance
auc_model,10,0.1,0.6994432716068081,0.1942032830492647,imbalance
ap_model,10,0.1,0.7036602192057686,0.20101080998380427,imbalance
auc_model,11,0.1,0.7207875796358185,0.2331890103688843,imbalance
ap_model,11,0.1,0.7268194100061776,0.2450664993750633,imbalance
auc_model,12,0.1,0.6842313211969873,0.1911975585075567,imbalance
ap_model,12,0.1,0.6883950257389727,0.1948148918212715,imbalance
auc_model,13,0.1,0.706468425325229,0.22285056706056816,imbalance
ap_model,13,0.1,0.7114440715196911,0.22525109140298083,imbalance
auc_model,14,0.1,0.702357643410773,0.19947396283364158,imbalance
ap_model,14,0.1,0.7047799091430729,0.20612419444500452,imbalance
auc_model,15,0.1,0.7145424845861529,0.23704196469780658,imbalance
ap_model,15,0.1,0.7222863542497228,0.2477352061676272,imbalance
auc_model,16,0.1,0.7166670381680524,0.21336119611831503,imbalance
ap_model,16,0.1,0.7222727618899019,0.22849255857379552,imbalance
auc_model,17,0.1,0.7190634766731382,0.20923536061229178,imbalance
ap_model,17,0.1,0.7239871946478141,0.2172812992086315,imbalance
auc_model,18,0.1,0.7269483338760447,0.2462758229506768,imbalance
ap_model,18,0.1,0.7288639758519276,0.255710496832971,imbalance
auc_model,19,0.1,0.7187176240109967,0.21806820148211156,imbalance
ap_model,19,0.1,0.7203881330432619,0.21718706181619638,imbalance
auc_model,20,0.1,0.7111941716819765,0.222048346866859,imbalance
ap_model,20,0.1,0.7149020317661433,0.22793168680423176,imbalance
auc_model,21,0.1,0.728715583688258,0.23214929794647102,imbalance
