model,repeat,info_scale,roc_auc,average_precision,study
auc_model,6,0.5,0.5929052464239817,0.13151801983843076,feature_info
ap_model,6,0.5,0.5929052464239817,0.13151801983843076,feature_info
auc_model,7,0.5,0.5828094561106973,0.12216364368937968,feature_info
ap_model,7,0.5,0.5828094561106973,0.12216364368937968,feature_info
auc_model,8,0.5,0.5838719344898906,0.13504009721975418,feature_info
ap_model,8,0.5,0.5838719344898906,0.13504009721975418,feature_info
auc_model,9,0.5,0.5867704032944008,0.13185330705033144,feature_info
ap_model,9,0.5,0.5867704032944008,0.13185330705033144,feature_info
auc_model,10,0.5,0.5875095645165326,0.1268672681553479,feature_info
ap_model,10,0.5,0.5875095645165326,0.1268672681553479,feature_info
auc_model,11,0.5,0.5875818604022389,0.12728996418701405,feature_info
ap_model,11,0.5,0.5875818604022389,0.12728996418701405,feature_info
auc_model,12,0.5,0.5575392432819929,0.11373068369447073,feature_info
ap_model,12,0.5,0.5575392432819929,0.11373068369447073,feature_info
auc_model,13,0.5,0.5924613204264986,0.13926151102761586,feature_info
ap_model,13,0.5,0.5924613204264986,0.13926151102761586,feature_info
auc_model,14,0.5,0.5904856058921159,0.13076778377096604,feature_info
ap_model,14,0.5,0.5904856058921159,0.13076778377096604,feature_info
auc_model,15,0.5,0.595330878394196,0.14140778286626432,feature_info
ap_model,15,0.5,0.595330878394196,0.14140778286626432,feature_info
auc_model,16,0.5,0.5944458685330896,0.1247026208472232,feature_info
ap_model,16,0.5,0.5944458685330896,0.1247026208472232,feature_info
auc_model,17,0.5,0.5881578246917074,0.12579821840931482,feature_info
ap_model,17,0.5,0.5881578246917074,0.12579821840931482,feature_info
auc_model,18,0.5,0.5991789982753839,0.1386353401727958,feature_info
ap_model,18,0.5,0.5991789982753839,0.1386353401727958,feature_info
auc_model,19,0.5,0.601734584537455,0.13666784006550275,feature_info
ap_model,19,0.5,0.601734584537455,0.13666784006550275,feature_info
auc_model,20,0.5,0.5894366260916784,0.12903886061830055,feature_info
ap_model,20,0.5,0.5894366260916784,0.12903886061830055,feature_info
auc_model,21,0.5,0.6072279048089811,0.14143423220170978,feature_info
ap_model,21,0.5,0.6072279048089811,0.14143423220170978,feature_info
auc_model,22,0.5,0.6057726502339313,0.13859183263712965,feature_info
ap_model,22,0.5,0.6057726502339313,0.13859183263712965,feature_info
auc_model,23,0.5,0.576535205213527,0.1264553758850781,feature_info
ap_model,23,0.5,0.576535205213527,0.1264553758850781,feature_info
auc_model,24,0.5,0.6112810646396483,0.14718076975584088,feature_info
ap_model,24,0.5,0.6112810646396483,0.14718076975584088,feature_info
auc_model,25,0.5,0.5759185936015205,0.11764645568356666,feature_info
ap_model,25,0.5,0.5759185936015205,0.11764645568356666,feature_info
auc_model,26,0.5,0.5951917990950086,0.11978521447994625,feature_info
ap_model,26,0.5,0.5951917990950086,0.11978521447994625,feature_info
auc_model,27,0.5,0.574724142699115,0.11704303827473321,feature_info
ap_model,27,0.5,0.574724142699115,0.11704303827473321,feature_info
auc_model,28,0.5,0.5768947335793588,0.13855214478047162,feature_info
ap_model,28,0.5,0.5768947335793588,0.13855214478047162,feature_info
auc_model,29,0.5,0.595963391667309,0.13328862113369894,feature_info
ap_model,29,0.5,0.595963391667309,0.13328862113369894,feature_info
auc_model,30,0.5,0.5883195029217047,0.13284124165644814,feature_info
ap_model,30,0.5,0.5883195029217047,0.13284124165644814,feature_info
auc_model,31,0.5,0.5947440726393816,0.1402081551526885,feature_info
ap_model,31,0.5,0.5947440726393816,0.1402081551526885,feature_info
auc_model,32,0.5,0.5807380569801447,0.1320545037853117,feature_info
ap_model,32,0.5,0.5807380569801447,0.1320545037853117,feature_info
auc_model,33,0.5,0.6257873561842504,0.14821423780511508,feature_info
ap_model,33,0.5,0.6257873561842504,0.14821423780511508,feature_info
auc_model,34,0.5,0.6027023448823132,0.14421145636197394,feature_info
ap_model,34,0.5,0.6027023448823132,0.14421145636197394,feature_info
auc_model,35,0.5,0.5754565421641974,0.1291699675979599,feature_info
