model,repeat,p_pos,roc_auc,average_precision,n_iter,study,info_scale
auc_model,5,0.05,0.7320220144711652,0.15377251754553267,21.0,imbalance,
ap_model,5,0.05,0.7300762772559795,0.15417352960377245,24.0,imbalance,
penalized_model,5,0.05,0.7356879159143784,0.1369242349750977,21.0,imbalance,
auc_model,6,0.05,0.6988086530713443,0.11966096563719206,21.0,imbalance,
ap_model,6,0.05,0.7011087005929875,0.12037920827753786,24.0,imbalance,
penalized_model,6,0.05,0.6968354718072688,0.11760253097824354,21.0,imbalance,
auc_model,7,0.05,0.7297233440884826,0.1492717677165603,21.0,imbalance,
ap_model,7,0.05,0.7285063140355929,0.1489167484938665,24.0,imbalance,
penalized_model,7,0.05,0.7386293624600169,0.13507133787950037,21.0,imbalance,
auc_model,8,0.05,0.7122900839664134,0.11657940841260075,21.0,imbalance,
ap_model,8,0.05,0.7113296922610266,0.11659465803788899,24.0,imbalance,
penalized_model,8,0.05,0.713854544389141,0.12008850789943876,21.0,imbalance,
auc_model,9,0.05,0.7130376647154851,0.13647186301257258,21.0,imbalance,
ap_model,9,0.05,0.7124220955507654,0.13562457716142506,24.0,imbalance,
penalized_model,9,0.05,0.715607797510064,0.13749283420777014,21.0,imbalance,
auc_model,10,0.05,0.7293079138417231,0.13168477239724427,21.0,imbalance,
ap_model,10,0.05,0.7300967215949798,0.13171621650898688,24.0,imbalance,
penalized_model,10,0.05,0.7356664631413253,0.12805642815576274,21.0,imbalance,
auc_model,11,0.05,0.7055237416109418,0.1251909604092478,21.0,imbalance,
ap_model,11,0.05,0.7031136432908961,0.12556782830115953,24.0,imbalance,
penalized_model,11,0.05,0.7189312778372015,0.13177580113197015,21.0,imbalance,
auc_model,12,0.05,0.7266956827384858,0.12232780272014235,21.0,imbalance,
ap_model,12,0.05,0.7262590069975717,0.1218881743697144,24.0,imbalance,
penalized_model,12,0.05,0.7238604287492245,0.11563414680757268,21.0,imbalance,
auc_model,13,0.05,0.7044859207304909,0.1309751638522888,21.0,imbalance,
ap_model,13,0.05,0.7022447948475506,0.129660003159889,24.0,imbalance,
penalized_model,13,0.05,0.7092930287379297,0.1372910451127223,21.0,imbalance,
auc_model,14,0.05,0.7393328063141018,0.1432394336462345,21.0,imbalance,
ap_model,14,0.05,0.7391179628886668,0.14291171976275335,24.0,imbalance,
penalized_model,14,0.05,0.7468420390421543,0.13416703806415123,21.0,imbalance,
auc_model,15,0.05,0.7256309498923253,0.15603164622430518,21.0,imbalance,
ap_model,15,0.05,0.7266085655222301,0.15554554546248037,24.0,imbalance,
penalized_model,15,0.05,0.727905140176062,0.1326487320333424,21.0,imbalance,
auc_model,16,0.05,0.7128381429797227,0.1263778226556417,21.0,imbalance,
ap_model,16,0.05,0.7128572495562063,0.12646535601333875,24.0,imbalance,
penalized_model,16,0.05,0.7228864652486112,0.11334346136108933,21.0,imbalance,
auc_model,17,0.05,0.6700803735614371,0.10798469804982175,21.0,imbalance,
ap_model,17,0.05,0.6736552408107606,0.1083881399905858,24.0,imbalance,
penalized_model,17,0.05,0.6879778507820409,0.11007290628693536,21.0,imbalance,
auc_model,18,0.05,0.7260102343110155,0.14716883121377475,21.0,imbalance,
ap_model,18,0.05,0.7277426129965192,0.14785979703980381,24.0,imbalance,
penalized_model,18,0.05,0.7288367469031533,0.13763658470889673,21.0,imbalance,
auc_model,19,0.05,0.7251506177420121,0.1442443084656111,21.0,imbalance,
ap_model,19,0.05,0.7260152227800236,0.1441179468004169,24.0,imbalance,
penalized_model,19,0.05,0.7279774576765842,0.14418406031305223,21.0,imbalance,
auc_model,20,0.05,0.6716644782913166,0.10542042408977645,21.0,imbalance,
ap_model,20,0.05,0.6695982142857144,0.10504046026572458,24.0,imbalance,
penalized_model,20,0.05,0.6868688725490195,0.1139309383908563,21.0,imbalance,
auc_model,21,0.05,0.7060436329304406,0.11620588009120209,21.0,imbalance,
ap_model,21,0.05,0.7058833243646463,0.11639617180710196,24.0,imbalance,
penalized_model,21,0.05,0.7111658541143717,0.11204722868792374,21.0,imbalance,
auc_model,22,0.05,0.6871925056820338,0.12554959720479963,21.0,imbalance,
ap_model,22,0.05,0.6865574662274472,0.12441140860805351,24.0,imbalance,
penalized_model,22,0.05,0.7056396462996845,0.12768507107503238,21.0,imbalance,
auc_model,23,0.05,0.7337743776258857,0.14801040653820252,21.0,imbalance,
ap_model,23,0.05,0.7334123830643553,0.14816419417250815,24.0,imbalance,
penalized_model,23,0.05,0.7430925818396816,0.13600009833795668,21.0,imbalance,
auc_model,24,0.05,0.7393362265752056,0.14442611510895695,21.0,imbalance,
ap_model,24,0.05,0.7398545832420541,0.14396098306324304,24.0,imbalance,
penalized_model,24,0.05,0.7531123795624957,0.13796505161367278,21.0,imbalance,
auc_model,25,0.05,0.7294952303751057,0.12649073440972436,21.0,imbalance,
ap_model,25,0.05,0.731640620991822,0.12741761050587946,24.0,imbalance,
penalized_model,25,0.05,0.7260334472297184,0.13922359256081712,21.0,imbalance,
auc_model,26,0.05,0.7007076323580977,0.11896864746210747,21.0,imbalance,
ap_model,26,0.05,0.7021388038622735,0.11944763838497531,24.0,imbalance,
penalized_model,26,0.05,0.702087831834492,0.11831164060611224,21.0,imbalance,
auc_model,27,0.05,0.7054266759151725,0.10944560099981622,21.0,imbalance,
ap_model,27,0.05,0.7069326586530668,0.11040146445511465,24.0,imbalance,
penalized_model,27,0.05,0.7219951436486063,0.10886859218668571,21.0,imbalance,
auc_model,28,0.05,0.7045312291574746,0.1265472188598004,21.0,imbalance,
ap_model,28,0.05,0.7057009758149748,0.12670125566190027,24.0,imbalance,
penalized_model,28,0.05,0.6964858005752964,0.11725891601446725,21.0,imbalance,
auc_model,29,0.05,0.7237103318097663,0.14505498358627578,21.0,imbalance,
ap_model,29,0.05,0.7240981543624161,0.1453325492573052,24.0,imbalance,
penalized_model,29,0.05,0.7342882145336729,0.1450155664479269,21.0,imbalance,
auc_model,30,0.05,0.7234636532757043,0.12030484784786494,21.0,imbalance,
ap_model,30,0.05,0.7241124637090612,0.12065126071038063,24.0,imbalance,
penalized_model,30,0.05,0.718474078709397,0.12069330917687261,21.0,imbalance,
auc_model,31,0.05,0.7081690197987667,0.128158287552665,21.0,imbalance,
ap_model,31,0.05,0.708357676079195,0.12870135298827318,24.0,imbalance,
penalized_model,31,0.05,0.7081840311587146,0.11475362218065174,21.0,imbalance,
auc_model,32,0.05,0.7056496711370143,0.1347451588647519,21.0,imbalance,
ap_model,32,0.05,0.7064521618081135,0.13425146832058052,24.0,imbalance,
penalized_model,32,0.05,0.6913895358978833,0.1255967689861739,21.0,imbalance,
auc_model,33,0.05,0.7056908121538024,0.11057724929126247,21.0,imbalance,
ap_model,33,0.05,0.70396452790819,0.10939230572390271,24.0,imbalance,
penalized_model,33,0.05,0.7148369610822605,0.11035454897161434,21.0,imbalance,
auc_model,34,0.05,0.7179213302844305,0.12149742240629696,21.0,imbalance,
ap_model,34,0.05,0.7171377923536727,0.12168963033483882,24.0,imbalance,
penalized_model,34,0.05,0.7096868689907865,0.12096718547965112,21.0,imbalance,
auc_model,35,0.05,0.711239492707424,0.14186832147103548,21.0,imbalance,
ap_model,35,0.05,0.7098393377340539,0.14127120507227284,24.0,imbalance,
penalized_model,35,0.05,0.7162197286985179,0.1310983644046665,21.0,imbalance,
auc_model,36,0.05,0.7125415584795244,0.1367701067333238,21.0,imbalance,
ap_model,36,0.05,0.7115223625148493,0.13665388051757427,24.0,imbalance,
penalized_model,36,0.05,0.7142397754845499,0.1339692367229366,21.0,imbalance,
auc_model,37,0.05,0.7018380124894603,0.1399050884457783,21.0,imbalance,
ap_model,37,0.05,0.7019508194561552,0.13979332320551138,24.0,imbalance,
penalized_model,37,0.05,0.7059101793054385,0.13244956301835092,21.0,imbalance,
auc_model,38,0.05,0.7221656874572925,0.12639888374706437,21.0,imbalance,
ap_model,38,0.05,0.7227574634063408,0.1263723960530055,24.0,imbalance,
penalized_model,38,0.05,0.7296389022392671,0.12506005492550404,21.0,imbalance,
auc_model,39,0.05,0.7133845413165266,0.11418945531722484,21.0,imbalance,
ap_model,39,0.05,0.7154652485994398,0.11468762861316562,24.0,imbalance,
penalized_model,39,0.05,0.7270632002801121,0.1185128101735188,21.0,imbalance,
auc_model,0,0.1,0.6943066626307469,0.20521412368633601,86.0,imbalance,
ap_model,0,0.1,0.6983667978340564,0.21503295271417489,46.0,imbalance,
penalized_model,0,0.1,0.692405296023498,0.21196277721565449,33.0,imbalance,
auc_model,1,0.1,0.719454842032967,0.22282278916133955,86.0,imbalance,
ap_model,1,0.1,0.7220606541895603,0.2289709619253895,46.0,imbalance,
penalized_model,1,0.1,0.7183357657967033,0.24006632847055562,33.0,imbalance,
auc_model,2,0.1,0.7251933171787452,0.21610836232456687,86.0,imbalance,
ap_model,2,0.1,0.7302553008381788,0.22055075989522854,46.0,imbalance,
penalized_model,2,0.1,0.7238643470428534,0.22098334510340267,33.0,imbalance,
auc_model,3,0.1,0.7303424665823012,0.2576808939660652,86.0,imbalance,
ap_model,3,0.1,0.7344922342316176,0.2554400983341862,46.0,imbalance,
penalized_model,3,0.1,0.7377432421218597,0.25646694958859684,33.0,imbalance,
auc_model,4,0.1,0.7048336859211326,0.2152041834738319,86.0,imbalance,
ap_model,4,0.1,0.7080506683307835,0.21984698046508827,46.0,imbalance,
penalized_model,4,0.1,0.6992936958765529,0.21206446483914793,33.0,imbalance,
auc_model,5,0.1,0.7118204425086316,0.2193153542842722,86.0,imbalance,
ap_model,5,0.1,0.7145377511346402,0.221854593738828,46.0,imbalance,
penalized_model,5,0.1,0.716258084753803,0.22559525078604878,33.0,imbalance,
auc_model,6,0.1,0.7165029030817329,0.22825823602890963,86.0,imbalance,
ap_model,6,0.1,0.7230429652674035,0.24344335321249297,46.0,imbalance,
penalized_model,6,0.1,0.7171473906488769,0.23732495474876436,33.0,imbalance,
auc_model,7,0.1,0.7090601365094826,0.20331424716449326,86.0,imbalance,
ap_model,7,0.1,0.7132163883000058,0.20266573881015423,46.0,imbalance,
penalized_model,7,0.1,0.7105950624534465,0.20167133832915546,33.0,imbalance,
auc_model,8,0.1,0.7163448144865139,0.21681470471632935,86.0,imbalance,
